Sample,Group,ANTHRANILATE,GLYCYL-L-LEUCINE,CYTIDINE,ISOCYTOSINE,ETHANOLAMINE PHOSPHATE,GUANOSINE 5'-MONOPHOSPHATE,URIDINE-5-MONOPHOSPHATE,D-RIBOSE,CREATINE,GLUCOSAMINE/MANNOSAMINE,PUTRESCINE,URACIL,CARNOSINE,CYTOSINE,AGMATINE SULFATE,GLYCEROPHOSPHOCHOLINE,L-GLUTAMINE,L-CYSTINE,L-PROLINE,ALDO/KETO-HEXOSE,L-CYSTEINE,6C-SUGAR ALCOHOL,URIDINE,5-AMINOLEVULINIC ACID,UROCANATE,ADENOSINE 5'-MONOPHOSPHATE,L-SERINE,4-AMINOBUTANOATE (GABA),ORTHOPHOSPHATE,N-ALPHA-ACETYL-L-LYSINE,D-(+)-GALACTOSAMINE,ALPHA-AMINOADIPATE/N-METHYL-L-GLUTAMATE,5-AMINOLEVULINIC ACID,L-CYSTEINE,L-ASPARAGINE,ORNITHINE,DL-5-HYDROXYLYSINE,NICOTINATE,L-LYSINE,CITRULLINE,N-ACETYL-ARGININE,PYRIDOXINE,HISTAMINE,PIPECOLATE/L-PIPECOLIC ACID,L-ISOLEUCINE,CREATININE,GLYCINE,DOPAMINE,5-OXO-L-PROLINE,L-CYSTATHIONINE,CREATINE,TAURINE,3-METHYL-2-OXINDOLE,L-METHIONINE,PYRIDOXINE,L-CARNITINE,N-ACETYLPUTRESCINE,L-KYNURENINE,SARMENTOSIN,"N6,N6-DIMETHYLADENOSINE",PYROCOLL,N2-ACETYL-L-AMINOADIPATE,CYTOSINE,N-CARBAMOYLPUTRESCINE,VALYVALINE,HARMAN,PIPERIDINE,NORHARMAN,?-CARBOLINE,HYDROXYPENTOBARBITAL,5-NITRO-ORTHO-ANISIDINE,8-HYDROXYLANYLCLAVAM,ENTERODIOL SULFATE,"(2S,4S)-MONATIN",PRENYL-L-CYSTEINE,LEU-GLY-PRO,8-HYDROXYPURINE,N-LACTOYL-TRYPTOPHAN,OZAGREL,ETHIRIMOL,MACULOSIN,AMPICILLIN,OXOARGININE,TULOBUTEROL,PYROGLUTAMYLGLYCINE,SULPHO NONOATE,DEOXYCYTIDINE,PYROGLUTAMYLGLYCINE,L-FORMYLKYNURENINE,ISOCARBAMID,ZALCITABINE,METHARBITAL,ECTOINE,APROBARBITAL,BARBITAL,ETOMIDATE,HOMOCITRULLINE,METHOXYBRASSININ,PYROGLUTMYLGLYCINE,BIOTIN,5-AMINOPENTANAMIDE,LYXOSYLAMINE,PIRBUTEROL,HEPTANOYLCHOLINE,OROTIC ACID
1_WT91-118,ctrl-wt,186545.8125,68301.02344,39781.19531,32962.37891,63045.75391,7597.753906,11395.99512,1040986.43,33831.58041,553021.8714,981016.9,601428.3866,45387.85156,1731305.239,6922438.829,132242.1433,144035.5313,26193.91992,1.52E+07,2145835.246,,35523.08594,6257.635742,54445.49219,494951.3857,16191.85059,2101414.411,805913.4482,1478788.689,1860.06543,423797.7125,61163.46875,54445.49219,,2528225.854,118431.1406,363427.8763,196942.9656,6745026.114,631021.3196,129945.6324,1283721.636,67732.57355,106043.8594,1.43E+07,297635.0589,1336619.896,23936.63086,3067944.379,14375.05566,33831.58041,43881.32031,3880.487793,286424.1179,59317.77344,340388.6076,74737.04688,37831.78722,145378.679,44756.19531,11667.64258,91533.82031,51426.88672,58247.60938,10962.63867,734515.1321,53652.52734,54013.54118,1194724.395,149746.5397,17121.85352,32409.83789,31194.5,62437.1875,34556.21875,41646.59375,8096.92334,129149.6404,6602.212891,37497.84375,71348.39241,2068.807129,73682,4480.909668,2251.84375,174255.6951,31004.03906,49767.7928,30470.58984,105043.39,16504.0625,50957.79688,39458.71875,61319.34933,34450.59375,103941.9375,44464.01172,152363.5225,110005.2085,31203.91992,123531.4661,40982.96484,8920.49707,104150.2743,3137.383301
2_WT91-118,ctrl-wt,251284.6464,66843.04688,57871.57422,48724.99263,25484.42969,2880.437256,6622.525879,504635.9232,15588.5127,278887.1112,460377.7,212837.3821,28625.50586,668623.5018,3937620.879,91667.77344,72598.42188,16087.86426,6663339.9,820561.6821,,31430.13672,,30213.53711,293865.2357,7996.740234,1103128.004,348315.6821,802446.05,1710.542847,205737.6134,24162.45508,30213.53711,,1091527.08,74432.21094,123119.3679,80959.08594,3127863.421,416701.542,55686.73047,493645.6152,41936.60938,43341.72656,5829188.429,160912.7275,659676.4143,9201.996094,1215073.389,4650.695313,15588.5127,25813.69727,2464.026855,114912.2105,21636.55469,142102.5359,30274.91602,16113.75586,55977.53906,33013.27344,8588.583984,41518.70313,21735.77539,24535.58984,6204.579102,344377.8143,32556.96484,28328.54883,613611.6545,83071.15625,6489.305176,16561.18945,8163.524902,30282.4668,11859.2998,18520.70313,2464.934326,55269.62109,,15415.60059,30812.04102,,36086.33594,2600.63916,1838.898682,97719.32723,13144.88281,18126.98047,13522.93066,45051.68359,7343.787598,19453.08984,14865.34277,27238.19531,13842.81055,54018.46094,20011.80078,32327.5957,40715.75,12072.41016,29643.37305,24918.72852,2450.301514,88185.59375,
3_WT91-118,ctrl-wt,188125.5915,138803.4239,90080.3125,80213.49219,36585.89453,8646.708984,11414.5498,718387.275,22953.85547,600092.5464,917784.8536,510152.8188,45658.55859,1873066.829,7716620.071,133020.4926,155789.4531,21141.03125,1.32E+07,2149667.904,,40095.06641,5141.344727,41662.96094,463252.1509,17703.89063,2225184.646,675436.4214,1158183.446,2931.047119,190009.1295,76710.3144,41662.96094,,2621736.582,133271,311955.1179,186742.5054,6501061.429,678026.3973,118550.9565,1261446.525,173326.1388,96204.30469,1.35E+07,325061.8214,1137115.059,21448.76172,3198637.079,9439.087891,22953.85547,56715.23047,3458.123291,254302.1884,59826.77344,358622.0464,71703.98438,32668.06345,93781.54688,40498.37109,8685.751953,62505.09375,50341.10156,47396.19531,15696.75,740979.7536,58343.89453,57810.19743,1271199.18,189089.8688,20293.57422,38397.35938,34598.05859,61341.82422,36148.00391,35515.09766,10252.42871,128536.6688,4027.549561,55607.05078,75243.61819,2223.368408,56965.32813,9940.791992,2260.330078,63365.23181,29399.46094,48810.86702,30441.14648,107448.281,19259.32617,50880.92969,39228.83203,67400.71786,32200.79509,119367.6754,53634.69531,35395.1875,106679.0281,30019.62695,25645.35938,30995.11133,12160.18457,80892.89263,3556.661133
4_WT91-118,ctrl-wt,200742.9063,153324.3074,68257.5625,63991.16406,43981.08594,6164.893066,11464.58398,1096758.673,30153.66641,868867.2125,1039755.913,699611.6857,53665.08984,2031632.836,7683775.557,157557.1949,210409.8594,32486.66211,1.88E+07,3430942.764,,53106.51563,3367.048828,60364.30469,864962.85,17025.45898,3054570.6,1051017.205,1259199.004,2825.933105,496551.9393,83178.20993,60364.30469,,3360706.207,180228.3594,498247.4768,287115.3107,8216636.114,990269.6786,170220.1973,2120037.546,89129.28906,151484.375,1.84E+07,500945.1616,1731345.807,39161.74219,4610520.693,17189.49219,30153.66641,74272.51563,10474.34473,189533.667,81351.86719,520689.8714,106951.2261,44414.6875,116296.8848,35167.46875,8251.3125,74622,37867.51172,65960.21875,16351.83398,747892.725,82131.69531,42825.87344,1280629.316,311782.9652,23223.7207,62350.77344,87271.46094,93984.99219,51668.3125,60601.85938,10588.75391,215781.9567,4120.591797,27751.96289,104476.9317,1828.15979,78843.57031,3571.455078,5134.154297,86599.69821,49843.94922,81180.7135,47802.78516,170319.5888,26636.10352,73656.5,56863.77344,99995.51451,49143.66775,191817.0071,70897.89141,28290.64258,175514.1076,50005.05859,30223.32813,42253.37891,13600.01074,114371.7321,3449.674072
5_WT91-118,ctrl-wt,176076.9241,77202.14844,47310.89453,48510.84375,35336.07422,5976.12793,8084.784668,636706.2143,19340.71094,468108.5857,875911.1857,348064.7688,35890.07031,1284878.034,5497265.743,96843.97656,118972,17819.93555,1.08E+07,1665005.836,,29541.32617,2472.281494,30957.25781,368966.4813,12660.35059,1621872.3,520524.2268,830401.2214,2107.514893,369879.2254,48212.6875,30957.25781,,1888082.857,51060.77344,242409.9,145181.3266,4774593.729,537432.3536,96087.0404,978178.0357,76950.35938,69520.55469,9168226.886,258257.9058,1006658.275,16657.38086,2073861.586,11439.12402,19340.71094,45876.01172,3779.490479,141762.944,34193,260660.258,54076.21875,18448.48047,91746.98438,34887.56641,7902.001465,55094.16797,30841.00977,42932.29688,8324.869141,489516.2286,42399.16406,36460.93292,915699.4857,142233.5388,10735.08691,29728.37109,26340.30273,57375.31641,27883.93945,30832.73828,5864.987305,119012.2496,3154.634033,22767.51953,56159.29085,1496.274536,45978.58594,2681.484375,1937.463257,74374.24816,21390.87891,34300.98438,26470.79492,88135.69531,14492.39746,49091.85938,28642.93359,50775.08594,29979.48438,104095.2779,35338.77734,56669.37891,78820.03906,22261.6543,44616.84766,27673.80273,10954.17969,73938.30469,2533.475098
9E1_1,One_h,82841.27344,99039.65647,111146.9496,95684.26964,22148.80664,2204.86499,6092.629883,512075.375,10681.64844,252977.5853,447922.4929,155633.3536,24661.60547,727348.2643,3292373.05,38589.30859,97241.28906,14330.98926,3887631.771,824896.3268,,30140.92969,9583.680664,22196.28516,170813.6661,9201.421875,932460.5821,222929.1719,660699.8018,,122687.6033,15541.11426,22196.28516,,883703.2214,43506.48438,141218.7955,54785.62891,2859572.332,320624.4692,28219.73438,373530.9304,36301.78125,37687.14063,4231578.543,97441.625,435874.2339,10256.45117,820639.4696,2799.407715,10681.64844,24554.53125,3055.055664,94906.00781,15888.67773,116315.8103,23813.31445,12628.76172,6546.726074,3122.291748,,11000.75391,17160.04883,2010.793335,10628.05078,621176.6875,17449.57617,28771.94531,843186.0018,40891.76563,7092.626465,9700.699219,8838.171875,30894.44922,10762.94727,18653.12891,3350.3479,54868.58594,2759.251465,10418.02539,33949.04297,,20737.44141,,,40484.06563,10783.82617,16305.41895,12907.36426,35566.43359,9156.258789,16846.05078,9833.316406,22917.84375,10937.2207,43984.21484,15525.88281,29518.27148,30275.68164,10575.5459,20402.58789,21155.50195,6458.433105,59589.66797,
9E1_2,One_h,86838.67969,93443.76563,142829.89,100112.4007,21676.3457,1695.883911,3085.003906,621945.1402,14265.54883,380665.8241,511035.4946,234212.0817,25531.66211,812696.6714,4300870.243,36141.57031,106416.9219,23036.91602,5549749.257,1180657.53,,25365.2832,8698.943359,23275.18164,243911.4844,4694.29541,1092433.668,359314.3973,588666.1,,219207.3047,24189.30469,23275.18164,,1067746.138,47339.76953,170101.1304,86108.60156,3198433.914,420328.5897,38676.24665,590575.0125,37405.33594,52607.44141,5983216.971,164731.1828,607694.7411,12209.75879,1314007.304,4969.161621,14265.54883,27468.71484,2671.601563,91167.96094,17169.77539,169415.358,33129.66406,16928.68555,8693.507813,5533.223145,1960.459473,16020.01465,17493.24219,2270.720459,3355.88501,643919.6,21377.93945,33502.01021,837267.0911,78337.72924,7951.870117,20704.93945,22029.48828,41438.00781,16122.52734,22863.81445,3347.896973,86783.54688,2988.602295,14022.38086,42504.69637,,29104.91602,2405.95166,2245.262207,48399.1875,14082.75586,22559.91992,17631.69141,65258.88281,8009.165527,23392.12891,15535.94336,29895.56641,16328.4375,65258.91406,26922.90234,20674.00977,52622.78516,15820.32715,21136.40234,21514.52539,6648.244629,72436.38281,2128.538574
9E1_3,One_h,115910.7989,199872.1884,100640.3089,97896.03125,32410.85156,2210.343262,2822.165771,1228878.964,32509.68828,1135994.338,889716.675,798491.1232,49807.09766,2295591.875,5603849.986,115083.6915,302720.0554,25428.21484,1.67E+07,4172666.179,4562.020508,47947.19141,12902.84668,68379.53906,1191408.882,5067.691895,4044853.079,1356159.305,1673105.911,3125.311768,382979.9509,107369.3071,68379.53906,3286.52832,3686611.929,67510.19531,740898.3821,382475.6973,1.02E+07,1029194.475,75120.75781,2526342.636,45719.875,185938.1094,2.07E+07,737752.9607,2247734.693,41676.66016,6608234.171,21274.67188,32509.68828,82275.07031,8395.856445,719488.8964,99311.23304,621480.8384,140805.8016,62522.84766,24664.63281,6913.300293,2631.28418,39476.88672,22709.44531,11459.46191,15397.51465,925149.6375,37480.03906,51625.61719,1444242.057,335534.1612,22922.5918,73508.82813,98997.40625,122220.1263,53195.30859,81487.1875,12317.73047,275184.0942,6003.082031,91148.42969,147935.3462,2286.72168,72850.00781,,3692.90918,99710.79866,54980.52734,94307.19933,57690.64453,230070.0799,35182.51172,97337.38281,60600.80547,124975.2897,66012.04643,246683.9,99921.5308,29634.54883,219842.0518,62540.48929,25148.1875,44087.29297,19695.70313,116537.6384,6582.764648
9E1_4,One_h,128057.0038,240418.8004,238980.0312,216018.4214,22539.16602,5720.874023,8164.506836,743547.5446,23225.68555,751888.2946,657429.3455,432348.1179,28528.72656,1191996.655,7517360.643,108726.2384,250165.0464,17518.87305,9885841.514,1998999.932,,22027.05273,11790.20215,42151.27344,420915.3429,79393.39844,1866181.257,606186.9616,739522.9839,,442495.9705,46963.39453,42151.27344,,2159157.779,43383.88281,298705.05,186787.5527,5240860.286,574305.1875,58734.61797,1352813.925,59035.85156,91076.03906,1.23E+07,311270.3188,922232.5607,23622.80664,2738698.671,4825.871094,23225.68555,45526.85547,4646.533691,112323.506,49822.1875,286029.9946,75989.66406,27030.43945,12948.70801,7335.946289,,19236.90039,22267.60352,6072.838867,14375.51563,1031143.15,28167.75781,55258.24587,1466683.879,210396.6487,13938.58301,40594.58594,31377.19727,81134.60156,32366.96484,42679.11328,7408.924805,169693.2286,3241.563477,21112.73828,79654.2971,,39295.07031,,2782.670898,38386.5601,31517.73438,49274.80915,30545.44102,113289.0879,17557.90234,47352.60156,28888.37305,71413.02042,36863.87243,130506.7379,53264.66797,26631.76172,106413.4402,39812.72266,31289.75391,17725.73242,11617.05566,57321.22266,
9E1_5,One_h,123895.4007,216853.8165,175550.5183,172334.3491,24249.44531,2030.71582,7280.614746,981533.0464,26004.97656,699400.3429,629083.6848,488098.5545,37682.89844,1460348.257,6371029.557,82260.25,245932.1692,19196.48633,1.07E+07,2462742.107,,36556.0625,13884.33594,47290.57031,569890.7768,26882.48438,2166676.693,760572.1366,1148024.639,,320639.6429,52037.25737,47290.57031,,2282674.361,138688.3906,396370.9339,200460.85,6421923.886,718898.5696,65206.85346,1410047.229,49495.95703,114242.5703,1.34E+07,359098.7241,1199697.787,23219.82422,3303831.479,8926.926758,26004.97656,47931.53125,3693.749268,272048.3397,65899.10156,343214.5897,77393.78125,44068.51953,16428.38477,3785.940674,,22297.94727,23809.18945,6392.657715,19127.76953,808773.6661,33642.3125,51150.82941,1204818.329,181704.1777,15331.72656,40547.60156,41237.55859,76735.32813,37526.34766,51120.58984,7857.578125,160381.1895,3967.732422,37086.65625,77949.0625,,44137.73047,,2911.642578,76622.06618,36232.19141,53873.30145,36783.10547,128745.0112,20854.19922,52096.85156,35060.69922,65602.91038,36709.94704,132883.6335,51560.42969,29268.95703,121168.7714,33629.76953,27774.77734,29465.4707,10215.62207,75473.69531,2426.393555
